image_path,category,image_size,image_mode
/Users/adrian/Documents/cubicasa5k/colorful/6628/F2_original.png,colorful,"(504, 430)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/6628/F1_scaled.png,colorful,"(1374, 1172)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/6628/F2_scaled.png,colorful,"(1374, 1172)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/6628/F1_original.png,colorful,"(504, 430)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/9694/F2_original.png,colorful,"(1669, 953)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/9694/F1_scaled.png,colorful,"(2212, 1263)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/9694/F2_scaled.png,colorful,"(2212, 1263)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/9694/F1_original.png,colorful,"(1669, 953)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/11527/F1_scaled.png,colorful,"(1534, 1222)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/11527/F1_original.png,colorful,"(762, 607)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/10062/F1_scaled.png,colorful,"(1165, 1165)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/10062/F1_original.png,colorful,"(2000, 2000)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/9007/F1_scaled.png,colorful,"(1800, 1530)",RGBA
/Users/adrian/Documents/cubicasa5k/colorful/9007/F1_original.png,colorful,"(513, 436)",RGBA
/Users/adrian/Documents/cubicasa5k/colorful/3159/F2_original.png,colorful,"(1298, 664)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/3159/F1_scaled.png,colorful,"(2894, 1480)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/3159/F3_original.png,colorful,"(1298, 664)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/3159/F3_scaled.png,colorful,"(2894, 1480)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/3159/F2_scaled.png,colorful,"(2894, 1480)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/3159/F1_original.png,colorful,"(1298, 664)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/10266/F1_scaled.png,colorful,"(887, 1072)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/10266/F1_original.png,colorful,"(552, 667)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/14251/F1_scaled.png,colorful,"(1938, 1714)",RGB
/Users/adrian/Documents/cubicasa5k/colorful/14251/F1_original.png,colorful,"(1044, 923)",RGB
